,origin,dest,air_time,distance,origin_lat,origin_long,dest_lat,dest_long
11,JFK,PHX,330.0,2153,40.64,-73.779,33.434,-112.008
12,JFK,BUF,63.0,301,40.64,-73.779,42.94,-78.732
13,JFK,LAS,323.0,2248,40.64,-73.779,36.08,-115.152
14,JFK,MSY,191.0,1182,40.64,-73.779,29.993,-90.258
15,JFK,SLC,294.0,1990,40.64,-73.779,40.788,-111.978
16,JFK,FLL,156.0,1069,40.64,-73.779,26.072,-80.153
17,JFK,ROC,64.0,264,40.64,-73.779,43.119,-77.672
18,JFK,SYR,54.0,209,40.64,-73.779,43.111,-76.106
19,JFK,SEA,349.0,2422,40.64,-73.779,47.449,-122.309
20,JFK,RDU,80.0,427,40.64,-73.779,35.877,-78.787
21,JFK,CLT,98.0,541,40.64,-73.779,35.214,-80.943
22,JFK,MSP,189.0,1029,40.64,-73.779,44.88,-93.217
23,JFK,PIT,86.0,340,40.64,-73.779,40.491,-80.233
24,JFK,SAN,354.0,2446,40.64,-73.779,32.733,-117.189
25,JFK,DCA,52.0,213,40.64,-73.779,38.852,-77.037
26,JFK,JAX,130.0,828,40.64,-73.779,30.494,-81.688
27,JFK,ORD,160.0,740,40.64,-73.779,41.979,-87.904
28,JFK,DTW,108.0,509,40.64,-73.779,42.212,-83.353
29,JFK,BWI,41.0,184,40.64,-73.779,39.175,-76.668
30,JFK,HNL,659.0,4983,40.64,-73.779,21.316,-157.927
31,JFK,AUS,263.0,1521,40.64,-73.779,30.194,-97.67
32,JFK,BTV,52.0,266,40.64,-73.779,44.472,-73.153
33,JFK,STT,184.0,1623,40.64,-73.779,18.337,-64.973
34,JFK,IAD,52.0,228,40.64,-73.779,38.944,-77.456
35,JFK,PWM,47.0,273,40.64,-73.779,43.646,-70.309
36,JFK,HOU,253.0,1428,40.64,-73.779,29.645,-95.279
37,JFK,LGB,346.0,2465,40.64,-73.779,33.818,-118.151
38,JFK,BUR,371.0,2465,40.64,-73.779,34.201,-118.359
39,JFK,CLE,99.0,425,40.64,-73.779,41.412,-81.85
40,JFK,IND,130.0,665,40.64,-73.779,39.717,-86.294
41,JFK,CMH,98.0,483,40.64,-73.779,39.998,-82.892
42,JFK,BNA,150.0,765,40.64,-73.779,36.124,-86.678
43,JFK,DFW,254.0,1391,40.64,-73.779,32.896,-97.037
44,JFK,CVG,118.0,589,40.64,-73.779,39.046,-84.662
45,JFK,PHL,35.0,94,40.64,-73.779,39.872,-75.241
46,JFK,DEN,248.0,1626,40.64,-73.779,39.858,-104.667
47,JFK,ORF,52.0,290,40.64,-73.779,36.894,-76.201
48,JFK,PDX,341.0,2454,40.64,-73.779,45.589,-122.597
49,JFK,SJC,334.0,2569,40.64,-73.779,37.362,-121.929
50,JFK,CHS,106.0,636,40.64,-73.779,32.899,-80.04
51,JFK,OAK,330.0,2576,40.64,-73.779,37.721,-122.221
52,JFK,SMF,333.0,2521,40.64,-73.779,38.695,-121.591
53,JFK,SAT,251.0,1587,40.64,-73.779,29.534,-98.47
54,JFK,PSE,195.0,1617,40.64,-73.779,18.008,-66.563
55,JFK,MEM,166.0,964,40.64,-73.779,35.042,-89.977
56,JFK,RIC,52.0,288,40.64,-73.779,37.505,-77.319
57,JFK,PSP,324.0,2378,40.64,-73.779,33.829,-116.507
58,JFK,ACK,39.0,199,40.64,-73.779,41.253,-70.06
59,JFK,IAH,214.0,1417,40.64,-73.779,29.98,-95.34
60,JFK,MCI,143.0,1113,40.64,-73.779,39.297,-94.714
61,JFK,ABQ,230.0,1826,40.64,-73.779,0.0,0.0
62,JFK,ABQ,230.0,1826,40.64,-73.779,35.04,-106.609
63,JFK,STL,129.0,892,40.64,-73.779,38.748,-90.36
64,JFK,MKE,109.0,745,40.64,-73.779,42.947,-87.896
65,JFK,BHM,117.0,865,40.64,-73.779,33.563,-86.753
